Run: 91210007 	Subrun: 16 	Number of background events: 10 	Processes: QS, QS, QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, C, ES, DIS
Run: 91210001 	Subrun: 72 	Number of background events: 8 	Processes: QS, DeltaPPi, OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 40 	Number of background events: 8 	Processes: QS, DeltaPPi, OtherResonance, ES, ES, ES, DIS, DIS
Run: 91210000 	Subrun: 46 	Number of background events: 8 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 33 	Number of background events: 8 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, DIS, DIS, DIS, DIS
Run: 91210012 	Subrun: 12 	Number of background events: 8 	Processes: QS, QS, QS, C, DIS, DIS, DIS, DIS
Run: 91210005 	Subrun: 70 	Number of background events: 8 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210005 	Subrun: 52 	Number of background events: 8 	Processes: QS, QS, OtherResonance, OtherResonance, ES, DIS, DIS, DIS
Run: 91210000 	Subrun: 52 	Number of background events: 8 	Processes: DeltaPPi, OtherResonance, OtherResonance, OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210009 	Subrun: 21 	Number of background events: 8 	Processes: QS, QS, QS, QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210006 	Subrun: 65 	Number of background events: 8 	Processes: QS, QS, QS, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210011 	Subrun: 101 	Number of background events: 7 	Processes: QS, QS, OtherResonance, OtherResonance, ES, DIS, DIS
Run: 91210000 	Subrun: 50 	Number of background events: 7 	Processes: OtherResonance, OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210001 	Subrun: 58 	Number of background events: 7 	Processes: QS, QS, QS, QS, ES, DIS, DIS
Run: 91210000 	Subrun: 91 	Number of background events: 7 	Processes: QS, QS, QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210001 	Subrun: 41 	Number of background events: 7 	Processes: QS, QS, QS, DIS, DIS, DeltaPPi, DeltaPPi
Run: 91210005 	Subrun: 30 	Number of background events: 7 	Processes: QS, OtherResonance, OtherResonance, ES, ES, DIS, DIS
Run: 91210008 	Subrun: 39 	Number of background events: 7 	Processes: QS, QS, ES, DIS, DIS, DIS, DIS
Run: 91210007 	Subrun: 42 	Number of background events: 7 	Processes: QS, QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210010 	Subrun: 3 	Number of background events: 7 	Processes: QS, QS, QS, DeltaPPi, DIS, DIS, DIS
Run: 91210012 	Subrun: 79 	Number of background events: 7 	Processes: QS, QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210001 	Subrun: 64 	Number of background events: 7 	Processes: QS, QS, QS, QS, DeltaPPi, DIS, DIS
Run: 91210005 	Subrun: 79 	Number of background events: 7 	Processes: QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, OtherResonance, C
Run: 91210001 	Subrun: 47 	Number of background events: 7 	Processes: QS, QS, QS, OtherResonance, OtherResonance, OtherResonance, DeltaPPi
Run: 91210003 	Subrun: 54 	Number of background events: 7 	Processes: QS, DIS, DIS, OtherResonance, OtherResonance, DeltaPPi, DeltaPPi
Run: 91210012 	Subrun: 78 	Number of background events: 7 	Processes: QS, OtherResonance, ES, DIS, DIS, DIS, DIS
Run: 91210013 	Subrun: 65 	Number of background events: 7 	Processes: QS, QS, OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210000 	Subrun: 108 	Number of background events: 7 	Processes: QS, QS, DeltaPPi, OtherResonance, OtherResonance, OtherResonance, DIS
Run: 91210005 	Subrun: 13 	Number of background events: 7 	Processes: QS, QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210008 	Subrun: 105 	Number of background events: 7 	Processes: QS, QS, OtherResonance, OtherResonance, OtherResonance, OtherResonance, OtherResonance
Run: 91210005 	Subrun: 84 	Number of background events: 7 	Processes: QS, QS, DeltaPPi, OtherResonance, OtherResonance, DIS, DIS
Run: 91210003 	Subrun: 65 	Number of background events: 7 	Processes: QS, QS, QS, QS, OtherResonance, OtherResonance, DIS
Run: 91210008 	Subrun: 69 	Number of background events: 7 	Processes: QS, QS, QS, OtherResonance, OtherResonance, DeltaPPi, DeltaPPi
Run: 91210007 	Subrun: 80 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, DIS, DIS, DIS
Run: 91210005 	Subrun: 2 	Number of background events: 6 	Processes: OtherResonance, OtherResonance, OtherResonance, OtherResonance, DIS, DIS
Run: 91210010 	Subrun: 109 	Number of background events: 6 	Processes: QS, OtherResonance, OtherResonance, ES, DIS, DIS
Run: 91210000 	Subrun: 90 	Number of background events: 6 	Processes: QS, QS, OtherResonance, ES, DIS, DIS
Run: 91210002 	Subrun: 73 	Number of background events: 6 	Processes: QS, QS, OtherResonance, OtherResonance, DIS, DIS
Run: 91210013 	Subrun: 78 	Number of background events: 6 	Processes: QS, QS, QS, QS, QS, QS
Run: 91210008 	Subrun: 25 	Number of background events: 6 	Processes: QS, QS, DeltaPPi, OtherResonance, DIS, DIS
Run: 91210012 	Subrun: 22 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
Run: 91210013 	Subrun: 0 	Number of background events: 6 	Processes: QS, QS, OtherResonance, DIS, DIS, DIS
